Customer ID,Recency,Frequency,Monetary,Avg_Order_Value,Total_Quantity,Return_Rate,Churn,Age,Gender,R_Score,F_Score,M_Score,RFM_Score,Segment
43,121,5,17364,3472.8,13,0.4,0,60,Male,4,3,4,11,Loyal / High Value
44,69,4,11927,2981.75,13,0.5,0,28,Female,4,2,3,9,Potential Loyalists
45,21,7,23309,3329.8571428571427,17,0.14285714285714285,1,70,Female,5,4,5,14,Champions
46,146,8,22536,2817.0,26,0.125,0,37,Female,3,5,5,13,Champions
47,241,8,18507,2313.375,30,0.5,0,18,Female,3,5,4,12,Loyal / High Value
48,25,3,11983,3994.3333333333335,7,0.3333333333333333,1,36,Female,5,1,3,9,Potential Loyalists
49,796,2,6868,3434.0,6,0.5,0,63,Male,1,1,1,3,Hibernating
50,199,4,11595,2898.75,13,0.75,0,38,Female,3,2,3,8,Potential Loyalists
51,320,11,29769,2706.2727272727275,32,0.36363636363636365,0,18,Male,2,5,5,12,Loyal / High Value
52,83,8,18753,2344.125,29,0.25,0,58,Male,4,5,4,13,Champions
53,171,4,8902,2225.5,5,0.25,0,23,Female,3,2,2,7,Potential Loyalists
54,121,5,15001,3000.2,8,0.4,0,28,Female,4,3,4,11,Loyal / High Value
55,272,5,15117,3023.4,14,0.6,0,35,Male,2,3,4,9,Potential Loyalists
56,540,4,11599,2899.75,9,0.5,0,51,Female,1,2,3,6,At Risk
57,324,5,17134,3426.8,13,0.4,0,31,Female,2,3,4,9,Potential Loyalists
58,157,4,6959,1739.75,13,0.0,0,59,Male,3,2,1,6,At Risk
59,57,7,26988,3855.4285714285716,18,0.0,1,39,Female,5,4,5,14,Champions
60,293,8,19803,2475.375,22,0.25,0,24,Male,2,5,5,12,Loyal / High Value
61,88,4,6388,1597.0,12,0.25,1,33,Male,4,2,1,7,Potential Loyalists
62,487,3,11855,3951.6666666666665,5,1.0,0,19,Female,1,1,3,5,At Risk
63,364,6,23109,3851.5,20,0.5,1,23,Male,2,4,5,11,Loyal / High Value
64,707,3,6620,2206.6666666666665,12,0.3333333333333333,0,38,Male,1,1,1,3,Hibernating
65,67,6,12404,2067.3333333333335,13,0.5,1,32,Male,4,4,3,11,Loyal / High Value
66,48,6,18045,3007.5,16,0.5,0,53,Female,5,4,4,13,Champions
67,296,2,5269,2634.5,3,0.5,0,62,Female,2,1,1,4,Hibernating
68,836,3,10642,3547.3333333333335,10,0.3333333333333333,1,48,Male,1,1,2,4,Hibernating
69,226,3,8622,2874.0,6,0.0,0,22,Male,3,1,2,6,At Risk
70,6,9,24074,2674.8888888888887,31,0.2222222222222222,1,38,Male,5,5,5,15,Champions
71,430,2,2540,1270.0,8,0.5,1,43,Female,2,1,1,4,Hibernating
72,166,7,17152,2450.285714285714,25,0.5714285714285714,0,25,Male,3,4,4,11,Loyal / High Value
73,571,2,5460,2730.0,6,0.5,0,68,Male,1,1,1,3,Hibernating
74,132,5,9391,1878.2,19,0.0,0,59,Male,4,3,2,9,Potential Loyalists
75,209,3,7176,2392.0,10,0.3333333333333333,0,65,Male,3,1,1,5,At Risk
76,103,2,8123,4061.5,8,0.5,0,40,Male,4,1,2,7,Potential Loyalists
77,779,2,4495,2247.5,3,0.5,0,58,Male,1,1,1,3,Hibernating
78,599,4,10920,2730.0,13,0.5,1,51,Female,1,2,2,5,At Risk
79,791,3,7066,2355.3333333333335,11,0.3333333333333333,0,43,Female,1,1,1,3,Hibernating
80,350,10,22648,2264.8,33,0.4,0,34,Female,2,5,5,12,Loyal / High Value
81,347,5,12760,2552.0,14,0.4,0,42,Male,2,3,3,8,Potential Loyalists
82,99,4,6949,1737.25,10,0.5,0,21,Female,4,2,1,7,Potential Loyalists
83,159,8,16211,2026.375,30,0.75,0,24,Female,3,5,4,12,Loyal / High Value
84,70,3,2557,852.3333333333334,8,0.0,0,49,Male,4,1,1,6,At Risk
85,254,7,16901,2414.4285714285716,24,0.42857142857142855,0,27,Female,2,4,4,10,Loyal / High Value
86,273,6,12123,2020.5,17,0.16666666666666666,0,21,Male,2,4,3,9,Potential Loyalists
87,244,2,5436,2718.0,6,0.5,0,46,Female,3,1,1,5,At Risk
88,419,5,11135,2227.0,14,0.2,0,33,Male,2,3,2,7,Potential Loyalists
89,2,7,18361,2623.0,24,0.0,1,24,Male,5,4,4,13,Champions
90,1,6,14780,2463.3333333333335,20,0.16666666666666666,1,27,Female,5,4,3,12,Loyal / High Value
91,92,6,14816,2469.3333333333335,19,0.3333333333333333,0,54,Male,4,4,4,12,Loyal / High Value
92,264,3,11784,3928.0,7,0.3333333333333333,0,58,Female,2,1,3,6,At Risk
93,298,3,10025,3341.6666666666665,8,0.3333333333333333,0,51,Male,2,1,2,5,At Risk
94,88,6,15378,2563.0,26,0.3333333333333333,0,38,Male,4,4,4,12,Loyal / High Value
95,109,4,9736,2434.0,9,0.25,0,63,Male,4,2,2,8,Potential Loyalists
96,2,7,22981,3283.0,21,0.2857142857142857,0,25,Female,5,4,5,14,Champions
97,234,3,6636,2212.0,12,0.3333333333333333,1,33,Female,3,1,1,5,At Risk
98,222,6,20950,3491.6666666666665,14,0.0,1,55,Female,3,4,5,12,Loyal / High Value
99,660,4,11211,2802.75,14,0.25,0,34,Male,1,2,2,5,At Risk
100,23,8,19950,2493.75,27,0.625,0,20,Female,5,5,5,15,Champions
101,122,8,27360,3420.0,23,0.375,0,58,Male,4,5,5,14,Champions
102,964,1,1259,1259.0,1,1.0,0,18,Female,1,1,1,3,Hibernating
103,89,7,24077,3439.5714285714284,18,0.7142857142857143,0,59,Male,4,4,5,13,Champions
104,542,4,13848,3462.0,17,1.0,0,31,Male,1,2,3,6,At Risk
105,215,4,7530,1882.5,12,0.5,1,30,Male,3,2,1,6,At Risk
106,56,3,8311,2770.3333333333335,12,0.0,0,24,Male,5,1,2,8,Potential Loyalists
107,301,4,8393,2098.25,11,1.0,0,44,Male,2,2,2,6,At Risk
108,262,11,31386,2853.2727272727275,31,0.09090909090909091,0,53,Male,2,5,5,12,Loyal / High Value
109,108,5,18510,3702.0,17,0.2,0,60,Female,4,3,4,11,Loyal / High Value
110,459,3,3558,1186.0,8,0.3333333333333333,0,42,Male,1,1,1,3,Hibernating
111,322,5,9692,1938.4,20,0.6,1,57,Female,2,3,2,7,Potential Loyalists
112,560,2,4378,2189.0,3,0.0,0,67,Female,1,1,1,3,Hibernating
113,332,4,7328,1832.0,9,0.5,0,39,Female,2,2,1,5,At Risk
114,695,5,11568,2313.6,10,0.6,0,27,Male,1,3,3,7,Potential Loyalists
115,199,7,13470,1924.2857142857142,25,0.42857142857142855,0,21,Male,3,4,3,10,Loyal / High Value
116,36,4,11725,2931.25,7,0.0,0,55,Female,5,2,3,10,Loyal / High Value
117,29,6,22130,3688.3333333333335,27,0.5,0,49,Male,5,4,5,14,Champions
118,213,6,17754,2959.0,17,0.16666666666666666,0,65,Male,3,4,4,11,Loyal / High Value
119,435,6,18014,3002.3333333333335,24,0.3333333333333333,0,49,Male,1,4,4,9,Potential Loyalists
120,259,5,10470,2094.0,17,0.2,0,29,Female,2,3,2,7,Potential Loyalists
121,499,5,13615,2723.0,12,0.6,0,28,Male,1,3,3,7,Potential Loyalists
122,142,5,18104,3620.8,16,0.6,0,18,Male,3,3,4,10,Loyal / High Value
123,27,3,12829,4276.333333333333,12,0.3333333333333333,0,64,Male,5,1,3,9,Potential Loyalists
124,708,2,2308,1154.0,5,1.0,0,44,Female,1,1,1,3,Hibernating
125,37,6,17497,2916.1666666666665,12,0.0,0,46,Female,5,4,4,13,Champions
126,614,3,12680,4226.666666666667,10,1.0,0,40,Female,1,1,3,5,At Risk
127,952,1,3872,3872.0,1,0.0,0,62,Male,1,1,1,3,Hibernating
128,382,2,3931,1965.5,6,1.0,0,67,Male,2,1,1,4,Hibernating
129,193,6,14527,2421.1666666666665,18,0.3333333333333333,1,60,Female,3,4,3,10,Loyal / High Value
130,165,4,15849,3962.25,11,0.25,0,37,Female,3,2,4,9,Potential Loyalists
131,543,4,6668,1667.0,11,0.25,1,63,Male,1,2,1,4,Hibernating
132,245,3,10091,3363.6666666666665,11,0.3333333333333333,0,22,Male,3,1,2,6,At Risk
133,7,8,25725,3215.625,25,0.25,1,61,Male,5,5,5,15,Champions
134,186,4,12344,3086.0,16,0.25,0,69,Male,3,2,3,8,Potential Loyalists
135,253,6,13476,2246.0,22,0.5,0,35,Female,2,4,3,9,Potential Loyalists
136,370,8,22890,2861.25,29,0.25,0,25,Female,2,5,5,12,Loyal / High Value
137,495,8,24134,3016.75,18,0.25,0,66,Male,1,5,5,11,Loyal / High Value
138,232,2,2907,1453.5,7,1.0,0,19,Male,3,1,1,5,At Risk
139,67,7,15036,2148.0,21,0.42857142857142855,1,21,Female,4,4,4,12,Loyal / High Value
140,137,3,8230,2743.3333333333335,11,0.3333333333333333,0,55,Male,4,1,2,7,Potential Loyalists
141,329,9,26395,2932.777777777778,30,0.3333333333333333,0,41,Male,2,5,5,12,Loyal / High Value
142,466,2,4184,2092.0,6,1.0,0,43,Female,1,1,1,3,Hibernating
143,179,8,22505,2813.125,22,0.625,0,50,Female,3,5,5,13,Champions
144,53,6,17553,2925.5,10,0.3333333333333333,0,40,Female,5,4,4,13,Champions
145,143,10,26432,2643.2,33,0.6,0,48,Male,3,5,5,13,Champions
146,794,2,9457,4728.5,7,0.5,1,23,Female,1,1,2,4,Hibernating
147,147,7,14477,2068.1428571428573,24,0.14285714285714285,0,49,Male,3,4,3,10,Loyal / High Value
148,74,2,6506,3253.0,6,0.0,0,24,Female,4,1,1,6,At Risk
149,202,6,17913,2985.5,23,0.5,0,40,Male,3,4,4,11,Loyal / High Value
150,22,1,1743,1743.0,3,0.0,0,68,Male,5,1,1,7,Potential Loyalists
151,67,8,10760,1345.0,21,0.25,0,49,Female,4,5,2,11,Loyal / High Value
152,270,4,14097,3524.25,10,0.5,1,47,Male,2,2,3,7,Potential Loyalists
153,400,7,18398,2628.285714285714,17,0.5714285714285714,0,53,Female,2,4,4,10,Loyal / High Value
154,9,11,31167,2833.3636363636365,35,0.5454545454545454,0,56,Male,5,5,5,15,Champions
155,29,6,17420,2903.3333333333335,17,0.6666666666666666,0,70,Male,5,4,4,13,Champions
156,114,5,16715,3343.0,19,0.2,0,60,Male,4,3,4,11,Loyal / High Value
157,44,8,23819,2977.375,32,0.125,0,31,Male,5,5,5,15,Champions
158,339,4,7295,1823.75,11,0.25,0,70,Female,2,2,1,5,At Risk
159,83,3,4391,1463.6666666666667,9,0.0,0,35,Male,4,1,1,6,At Risk
160,903,2,8840,4420.0,6,0.5,0,41,Male,1,1,2,4,Hibernating
161,68,5,18246,3649.2,11,0.2,0,69,Female,4,3,4,11,Loyal / High Value
162,977,4,13299,3324.75,11,0.0,0,55,Male,1,2,3,6,At Risk
163,644,4,9704,2426.0,10,0.25,0,21,Female,1,2,2,5,At Risk
164,993,4,7890,1972.5,10,0.25,0,69,Male,1,2,2,5,At Risk
165,170,6,14544,2424.0,16,0.5,0,26,Male,3,4,3,10,Loyal / High Value
166,358,9,29342,3260.222222222222,32,0.3333333333333333,0,28,Male,2,5,5,12,Loyal / High Value
167,469,4,8508,2127.0,10,0.5,0,57,Female,1,2,2,5,At Risk
169,177,8,15868,1983.5,25,0.625,0,21,Male,3,5,4,12,Loyal / High Value
170,44,8,24385,3048.125,26,0.5,0,40,Female,5,5,5,15,Champions
171,430,1,4206,4206.0,5,0.0,1,61,Male,2,1,1,4,Hibernating
172,452,6,10493,1748.8333333333333,12,0.16666666666666666,1,41,Female,1,4,2,7,Potential Loyalists
173,159,5,15597,3119.4,11,0.4,1,66,Female,3,3,4,10,Loyal / High Value
174,40,2,3347,1673.5,7,0.5,0,39,Female,5,1,1,7,Potential Loyalists
175,225,4,10189,2547.25,12,0.5,0,31,Female,3,2,2,7,Potential Loyalists
176,17,7,13361,1908.7142857142858,22,0.7142857142857143,1,30,Female,5,4,3,12,Loyal / High Value
177,92,4,12377,3094.25,14,0.75,0,27,Male,4,2,3,9,Potential Loyalists
178,150,9,21604,2400.4444444444443,25,0.2222222222222222,0,35,Female,3,5,5,13,Champions
179,10,5,20456,4091.2,18,0.2,0,29,Male,5,3,5,13,Champions
180,61,1,473,473.0,4,1.0,1,55,Male,4,1,1,6,At Risk
181,238,3,7779,2593.0,6,0.3333333333333333,0,60,Female,3,1,2,6,At Risk
182,34,7,17243,2463.285714285714,23,0.7142857142857143,0,51,Male,5,4,4,13,Champions
183,263,3,5468,1822.6666666666667,8,0.3333333333333333,0,23,Female,2,1,1,4,Hibernating
184,99,9,26985,2998.3333333333335,25,0.5555555555555556,0,43,Male,4,5,5,14,Champions
185,169,9,24331,2703.4444444444443,24,0.5555555555555556,0,19,Female,3,5,5,13,Champions
186,397,3,9097,3032.3333333333335,4,0.3333333333333333,1,32,Male,2,1,2,5,At Risk
187,544,1,2670,2670.0,3,0.0,0,39,Male,1,1,1,3,Hibernating
188,64,4,7701,1925.25,11,0.0,1,32,Female,4,2,1,7,Potential Loyalists
189,617,2,6569,3284.5,7,1.0,0,69,Male,1,1,1,3,Hibernating
190,1077,1,4361,4361.0,5,0.0,0,47,Male,1,1,1,3,Hibernating
191,1144,2,4200,2100.0,6,0.0,1,32,Male,1,1,1,3,Hibernating
192,44,8,28832,3604.0,23,0.5,1,70,Male,5,5,5,15,Champions
193,83,5,12514,2502.8,14,0.6,0,26,Female,4,3,3,10,Loyal / High Value
194,20,6,10066,1677.6666666666667,20,0.16666666666666666,0,63,Female,5,4,2,11,Loyal / High Value
195,169,6,18840,3140.0,18,0.16666666666666666,1,59,Female,3,4,4,11,Loyal / High Value
196,442,5,13926,2785.2,10,0.6,0,18,Female,1,3,3,7,Potential Loyalists
197,182,4,10354,2588.5,8,0.25,0,19,Female,3,2,2,7,Potential Loyalists
198,138,7,17553,2507.5714285714284,27,0.42857142857142855,0,55,Female,4,4,4,12,Loyal / High Value
199,309,6,14136,2356.0,16,0.3333333333333333,1,24,Female,2,4,3,9,Potential Loyalists
200,98,8,20775,2596.875,29,0.25,1,56,Male,4,5,5,14,Champions
201,14,2,3149,1574.5,6,0.0,0,38,Male,5,1,1,7,Potential Loyalists
202,171,6,15209,2534.8333333333335,25,0.3333333333333333,0,49,Female,3,4,4,11,Loyal / High Value
203,437,3,6566,2188.6666666666665,14,0.3333333333333333,0,36,Female,1,1,1,3,Hibernating
204,77,12,29420,2451.6666666666665,31,0.5,0,56,Male,4,5,5,14,Champions
205,147,11,23103,2100.2727272727275,40,0.36363636363636365,0,60,Male,3,5,5,13,Champions
206,34,6,18103,3017.1666666666665,16,0.6666666666666666,0,25,Male,5,4,4,13,Champions
207,214,8,21171,2646.375,28,0.25,0,46,Male,3,5,5,13,Champions
208,325,8,21596,2699.5,18,0.25,1,38,Male,2,5,5,12,Loyal / High Value
209,6,7,17402,2486.0,19,0.7142857142857143,0,66,Male,5,4,4,13,Champions
210,20,7,19595,2799.285714285714,15,0.2857142857142857,0,37,Female,5,4,5,14,Champions
211,132,10,20362,2036.2,32,0.6,0,19,Male,4,5,5,14,Champions
212,115,6,15762,2627.0,21,0.3333333333333333,0,50,Male,4,4,4,12,Loyal / High Value
213,302,6,10744,1790.6666666666667,22,0.8333333333333334,0,64,Female,2,4,2,8,Potential Loyalists
214,206,3,11660,3886.6666666666665,12,0.6666666666666666,0,42,Female,3,1,3,7,Potential Loyalists
215,379,4,11725,2931.25,14,0.25,0,64,Male,2,2,3,7,Potential Loyalists
216,93,8,26535,3316.875,34,0.0,0,47,Male,4,5,5,14,Champions
217,119,5,8551,1710.2,16,0.2,1,25,Female,4,3,2,9,Potential Loyalists
218,489,8,21620,2702.5,26,0.375,0,45,Male,1,5,5,11,Loyal / High Value
219,18,6,13360,2226.6666666666665,11,0.6666666666666666,0,52,Male,5,4,3,12,Loyal / High Value
220,208,4,7400,1850.0,16,0.25,1,68,Female,3,2,1,6,At Risk
221,259,6,21964,3660.6666666666665,10,0.16666666666666666,1,18,Female,2,4,5,11,Loyal / High Value
222,140,4,10799,2699.75,14,0.5,0,31,Female,3,2,2,7,Potential Loyalists
223,28,4,10202,2550.5,12,0.25,0,67,Female,5,2,2,9,Potential Loyalists
224,75,6,16799,2799.8333333333335,16,0.3333333333333333,1,65,Female,4,4,4,12,Loyal / High Value
225,3,3,7280,2426.6666666666665,11,0.6666666666666666,0,50,Female,5,1,1,7,Potential Loyalists
226,42,5,12910,2582.0,13,0.6,0,56,Female,5,3,3,11,Loyal / High Value
227,312,4,9489,2372.25,16,0.5,0,23,Female,2,2,2,6,At Risk
228,129,4,7175,1793.75,11,0.0,0,60,Male,4,2,1,7,Potential Loyalists
229,330,6,18119,3019.8333333333335,22,0.6666666666666666,0,26,Female,2,4,4,10,Loyal / High Value
230,44,10,29553,2955.3,24,0.8,0,31,Female,5,5,5,15,Champions
231,278,6,15841,2640.1666666666665,13,0.0,0,35,Male,2,4,4,10,Loyal / High Value
232,290,6,23483,3913.8333333333335,19,0.5,0,47,Male,2,4,5,11,Loyal / High Value
233,384,5,15177,3035.4,15,0.4,0,51,Female,2,3,4,9,Potential Loyalists
234,65,4,7910,1977.5,12,0.0,0,48,Female,4,2,2,8,Potential Loyalists
235,377,4,14572,3643.0,10,0.5,1,53,Male,2,2,3,7,Potential Loyalists
236,88,10,22060,2206.0,24,0.4,0,27,Male,4,5,5,14,Champions
237,394,7,17112,2444.5714285714284,18,0.5714285714285714,0,54,Female,2,4,4,10,Loyal / High Value
238,27,8,25783,3222.875,31,0.375,0,52,Male,5,5,5,15,Champions
239,240,7,20511,2930.1428571428573,25,0.42857142857142855,0,57,Female,3,4,5,12,Loyal / High Value
240,181,4,7011,1752.75,13,0.25,0,29,Female,3,2,1,6,At Risk
241,207,3,3491,1163.6666666666667,10,0.6666666666666666,0,41,Female,3,1,1,5,At Risk
242,161,3,5090,1696.6666666666667,9,1.0,1,57,Male,3,1,1,5,At Risk
243,93,7,19370,2767.1428571428573,20,0.42857142857142855,0,47,Female,4,4,5,13,Champions
244,304,7,15342,2191.714285714286,27,0.2857142857142857,0,51,Female,2,4,4,10,Loyal / High Value
245,655,3,7939,2646.3333333333335,13,0.6666666666666666,1,47,Male,1,1,2,4,Hibernating
246,115,3,11308,3769.3333333333335,9,0.3333333333333333,0,57,Male,4,1,2,7,Potential Loyalists
247,627,5,8715,1743.0,15,0.6,0,20,Female,1,3,2,6,At Risk
248,214,6,24306,4051.0,24,0.3333333333333333,0,51,Female,3,4,5,12,Loyal / High Value
249,1206,1,2240,2240.0,2,0.0,0,62,Female,1,1,1,3,Hibernating
250,97,7,22091,3155.8571428571427,25,0.2857142857142857,1,43,Male,4,4,5,13,Champions
251,36,8,24661,3082.625,22,0.625,0,68,Male,5,5,5,15,Champions
252,651,5,10043,2008.6,16,0.2,0,28,Male,1,3,2,6,At Risk
253,47,8,23104,2888.0,25,0.75,0,23,Female,5,5,5,15,Champions
254,402,4,12119,3029.75,13,0.25,0,64,Male,2,2,3,7,Potential Loyalists
255,660,5,12999,2599.8,16,0.4,0,61,Female,1,3,3,7,Potential Loyalists
256,137,3,7389,2463.0,8,0.6666666666666666,1,57,Male,4,1,1,6,At Risk
257,468,4,12211,3052.75,14,0.25,1,49,Male,1,2,3,6,At Risk
258,70,6,17437,2906.1666666666665,20,0.16666666666666666,0,32,Female,4,4,4,12,Loyal / High Value
259,190,4,17652,4413.0,6,0.5,0,70,Male,3,2,4,9,Potential Loyalists
260,87,6,12523,2087.1666666666665,22,0.5,0,41,Male,4,4,3,11,Loyal / High Value
261,78,8,20949,2618.625,25,0.125,1,49,Male,4,5,5,14,Champions
262,140,8,22365,2795.625,14,0.375,0,70,Female,3,5,5,13,Champions
263,71,8,20142,2517.75,22,0.25,1,38,Male,4,5,5,14,Champions
264,190,10,33074,3307.4,28,0.1,0,69,Female,3,5,5,13,Champions
265,84,5,18780,3756.0,18,0.8,0,53,Female,4,3,4,11,Loyal / High Value
266,39,7,10856,1550.857142857143,23,0.7142857142857143,0,31,Male,5,4,2,11,Loyal / High Value
267,26,5,16595,3319.0,21,0.4,1,64,Female,5,3,4,12,Loyal / High Value
268,406,3,5628,1876.0,15,0.6666666666666666,0,57,Male,2,1,1,4,Hibernating
269,184,7,21577,3082.4285714285716,22,0.14285714285714285,0,57,Female,3,4,5,12,Loyal / High Value
270,5,6,17030,2838.3333333333335,17,0.3333333333333333,1,68,Female,5,4,4,13,Champions
271,56,5,19721,3944.2,16,0.4,1,54,Male,5,3,5,13,Champions
272,541,3,8898,2966.0,9,0.3333333333333333,0,26,Male,1,1,2,4,Hibernating
273,221,6,16602,2767.0,22,0.3333333333333333,0,68,Female,3,4,4,11,Loyal / High Value
274,473,6,17449,2908.1666666666665,23,0.3333333333333333,0,26,Female,1,4,4,9,Potential Loyalists
275,28,3,5288,1762.6666666666667,15,0.0,0,70,Female,5,1,1,7,Potential Loyalists
276,284,5,9196,1839.2,14,0.4,0,28,Female,2,3,2,7,Potential Loyalists
277,141,7,15709,2244.1428571428573,20,0.2857142857142857,0,28,Male,3,4,4,11,Loyal / High Value
278,6,10,31691,3169.1,20,0.4,0,18,Female,5,5,5,15,Champions
279,350,4,5772,1443.0,15,0.5,0,34,Female,2,2,1,5,At Risk
280,373,5,6532,1306.4,18,0.4,0,40,Female,2,3,1,6,At Risk
281,208,2,6795,3397.5,4,0.0,0,61,Male,3,1,1,5,At Risk
282,108,8,26379,3297.375,28,0.625,0,62,Male,4,5,5,14,Champions
283,217,6,21425,3570.8333333333335,15,0.3333333333333333,0,38,Female,3,4,5,12,Loyal / High Value
284,258,3,7773,2591.0,6,0.3333333333333333,0,68,Female,2,1,2,5,At Risk
285,324,9,28106,3122.8888888888887,31,0.1111111111111111,0,35,Female,2,5,5,12,Loyal / High Value
286,451,2,7637,3818.5,5,1.0,0,70,Male,1,1,1,3,Hibernating
287,888,1,2295,2295.0,5,0.0,1,40,Female,1,1,1,3,Hibernating
288,81,5,16691,3338.2,18,0.6,0,33,Female,4,3,4,11,Loyal / High Value
289,265,6,14827,2471.1666666666665,23,0.16666666666666666,1,29,Male,2,4,4,10,Loyal / High Value
290,351,4,10409,2602.25,10,0.5,0,36,Female,2,2,2,6,At Risk
291,253,4,12458,3114.5,11,0.5,0,32,Female,2,2,3,7,Potential Loyalists
292,318,4,5470,1367.5,12,0.75,0,50,Female,2,2,1,5,At Risk
293,107,5,13042,2608.4,16,0.4,0,51,Male,4,3,3,10,Loyal / High Value
294,187,3,10651,3550.3333333333335,7,0.3333333333333333,0,20,Male,3,1,2,6,At Risk
295,122,2,2904,1452.0,4,0.5,0,50,Male,4,1,1,6,At Risk
296,568,6,16269,2711.5,12,0.3333333333333333,1,37,Female,1,4,4,9,Potential Loyalists
297,46,11,27103,2463.909090909091,31,0.36363636363636365,0,57,Male,5,5,5,15,Champions
298,77,5,10434,2086.8,15,0.4,0,39,Male,4,3,2,9,Potential Loyalists
299,513,5,17284,3456.8,13,0.8,0,44,Female,1,3,4,8,Potential Loyalists
300,130,6,11344,1890.6666666666667,21,0.5,0,25,Female,4,4,2,10,Loyal / High Value
301,110,3,9117,3039.0,8,0.6666666666666666,1,35,Female,4,1,2,7,Potential Loyalists
302,46,7,19850,2835.714285714286,19,0.42857142857142855,0,66,Female,5,4,5,14,Champions
303,170,4,14014,3503.5,11,0.25,1,26,Male,3,2,3,8,Potential Loyalists
304,142,7,16462,2351.714285714286,21,0.5714285714285714,1,49,Male,3,4,4,11,Loyal / High Value
305,177,5,12211,2442.2,15,0.4,1,34,Male,3,3,3,9,Potential Loyalists
306,436,4,11545,2886.25,11,0.25,0,37,Female,1,2,3,6,At Risk
307,865,1,4972,4972.0,1,1.0,1,30,Female,1,1,1,3,Hibernating
308,14,3,9405,3135.0,5,0.0,0,69,Female,5,1,2,8,Potential Loyalists
